id,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
130,303.9,312.8,1345,56.5,21,1
164,302.5,310.4,1307,54.8,174,1
228,300.7,309.7,1878,27.9,20,1
236,297.3,308.6,1258,61.8,144,1
247,303,311.3,1341,51,174,1
260,301.8,310.6,1378,48.3,62,1
385,301.9,311.1,1374,59.8,228,1
507,297.3,308.2,1396,52.6,212,1
661,300.8,310.7,1362,59.1,203,1
733,300.9,309.4,1422,62.4,113,1
745,302,310.6,1296,67.1,5,1
888,301.4,310.5,1359,51.2,196,1
1027,303.1,311.2,1373,48.8,212,1
1044,303,312.3,1488,71.3,175,1
1285,300.6,309.4,1367,63.2,2,1
1518,299,310.4,1536,49.1,15,1
1556,302.4,310.1,1372,47.8,61,1
1613,297.2,307.9,1381,62.4,172,1
1699,301.8,310.9,1363,46.5,17,1
1784,302,310.8,1376,48.6,197,1
1796,298.2,308.6,1268,68.2,81,1
1806,301.9,310.5,1543,34.6,86,1
1833,303,311.2,1346,48,69,1
1882,299.1,310.1,1335,48.8,204,1
1884,303.4,311.4,1337,51.1,9,1
2088,302.4,310.2,1331,57.3,2,1
2105,302.6,310.4,1565,35,171,1
2142,302.2,310.7,1270,55.7,159,1
2171,298.4,309.6,1710,52.7,163,1
2230,300.6,309.4,1380,47.6,246,1
2250,302,310.8,1571,37,227,1
2296,302.8,311.1,1353,52.3,81,1
2355,302.5,311.4,1629,31.7,225,1
2542,302.6,310.5,1357,54.3,204,1
2577,302.5,311,1298,68,111,1
2609,302.4,310.2,1368,51.5,31,1
2656,298.7,310.4,1365,49.1,226,1
2673,299.4,309,1343,72.6,92,1
2708,296.4,307.4,2833,5.6,213,1
2870,299.6,309.1,1336,58.1,217,1
2891,300.8,310.7,1386,63.5,76,1
2973,302.6,310.2,1382,53.6,79,1
2988,300.7,311.5,1452,59.1,19,1
3118,302.3,310.2,1391,49.5,42,1
3122,297.2,308.1,1269,56.8,200,1
3161,302.4,311.2,1402,59.1,127,1
3248,299.1,310.2,1317,46,119,1
3302,302.8,311,1356,48.2,85,1
3539,299.5,309.1,1320,67.5,5,1
3561,302.1,311,1574,34.1,215,1
3582,301.8,310.1,1553,35.8,217,1
3594,302,310.4,1397,62.9,110,1
3779,300.6,310.3,1429,47.8,208,1
3797,302.4,311.1,1326,62.5,161,1
3856,302.4,310.1,2861,4,200,1
3899,300,310.2,1365,44.8,204,1
3925,297.2,308.1,1399,58.7,210,1
3932,301.8,310.2,1379,54.2,215,1
3995,302.4,310.1,1465,45.5,7,1
4062,302.2,310.6,1501,66.7,101,1
4147,302.5,310.2,1359,46.8,148,1
4270,296.2,306.8,1335,60.2,134,1
4307,302.5,311.9,1308,52,45,1
4343,298.3,309.5,2153,15.3,93,1
4509,300.6,310.4,1416,61.8,209,1
4553,303,311.1,1399,53.7,117,1
4566,302.3,311.3,1362,56.8,126,1
4595,301.9,309.6,1350,62.9,225,1
4721,302.4,312,1364,49.9,54,1
4836,297,307.7,1377,62.3,105,1
4939,299.1,308.5,1318,56.8,0,1
